DATE,TIME,STREET1,STREET2,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INITDIR,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,PEDESTRIAN,SPEEDING,NEIGHBOURHOOD_158,DIVISION
7/22/2007 8:00:00 AM,1409,3850 FINCH  AVE E,Unknown,Major Arterial,Scarborough,43.799545,-79.30339,Unknown,Traffic Signal,Clear,Daylight,Dry,0,Rear End,Driver,35 to 39,East,Going Ahead,Following too Close,Inattentive,Unknown,Unknown,Unknown,Unknown,No,No,East L'Amoreaux,D42
3/19/2006 10:00:00 AM,1743,STEELES AVE E,WARDEN AVE,Major Arterial,Scarborough,43.819645,-79.32439,At Intersection,Traffic Signal,Clear,Daylight,Dry,0,Angle,Passenger,50 to 54,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,NSA,D42
3/7/2014 10:00:00 AM,650,DON VALLEY PARKWAY  S,LAWRENCE AVE E,Unknown,North York,43.740267,-79.33224,Non Intersection,No Control,Clear,Daylight,Dry,0,Rear End,Driver,60 to 64,South,Stopped,Driving Properly,Normal,Unknown,Unknown,Unknown,Unknown,No,No,Banbury-Don Mills,D33
6/12/2023 8:00:00 AM,1625,MOUNT PLEASANT RD,EGLINTON AV E,Major Arterial,Toronto and East York,43.708415,-79.39017,Intersection Related,Traffic Signal,Rain,Daylight,Wet,0,Pedestrian Collisions,Driver,45 to 49,South,Going Ahead,Driving Properly,Normal,Unknown,Unknown,Unknown,Unknown,Yes,No,Mount Pleasant East,D53
3/27/2017 8:00:00 AM,855,EGLINTON AVE W,RUSSELL HILL RD,Major Arterial,North York,43.703047,-79.415462,Non Intersection,Traffic Controller,Clear,Daylight,Wet,0,Other,Driver,45 to 49,East,Going Ahead,Driving Properly,Normal,Unknown,Unknown,Unknown,Unknown,No,No,Forest Hill South,D53
8/14/2019 8:00:00 AM,1149,DUFFERIN ST,TYCOS DR,Major Arterial,North York,43.705699,-79.452884,At Intersection,Stop Sign,Clear,Daylight,Dry,0,Turning Movement,Motorcycle Passenger,20 to 24,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Yorkdale-Glen Park,D13
5/5/2017 8:00:00 AM,1616,WYCHCREST AVE,SHAW ST,Collector,Toronto and East York,43.672232,-79.427295,At Intersection,Stop Sign,Rain,Daylight,Wet,0,SMV Other,Driver,75 to 79,West,Going Ahead,Other,Normal,Unknown,Unknown,Unknown,Unknown,No,No,Wychwood,D13
11/29/2018 10:00:00 AM,1538,3120 STEELES AVE E,Unknown,Major Arterial,North York,43.814654,-79.34518,At/Near Private Drive,No Control,Clear,Daylight,Dry,0,SMV Other,Driver,30 to 34,East,Going Ahead,Driving Properly,Normal,Unknown,Unknown,Unknown,Unknown,No,No,Hillcrest Village,D33
8/23/2022 8:00:00 AM,2252,SHEPPARD AVE E,BAYVIEW AVE,Major Arterial,North York,43.766516,-79.388011,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,0,Turning Movement,Passenger,75 to 79,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Bayview Village,D33
10/4/2020 8:00:00 AM,1906,FINCH AVE W,DUFFERIN ST,Major Arterial,North York,43.768782,-79.466884,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,0,Pedestrian Collisions,Driver,20 to 24,West,Turning Left,Improper Turn,Normal,Unknown,Unknown,Unknown,Unknown,Yes,No,Bathurst Manor,D32
